Key,en,de,fr,it,hu,zh,ar
error_registration_denied_maximum_account_number,"You are trying to register a new account. You have already registered the maximum number of accounts (%d).","Sie versuchen, ein neues Konto zu registrieren. Sie haben bereits die maximal unterstützte Kontonummer (%d) registriert.","Vous essayez d'enregistrer un nouveau compte. Vous avez déjà enregistré le numéro de compte maximum supporté (%d).","Stai cercando di registrare un nuovo account. Hai già registrato il numero massimo di conto supportato (%d).","Újabb fiókot próbált regisztrálni. Maximálisan %d fiókja lehet.","您正在尝试注册新账户。您已经注册了支持的最大账户数量（%d）。","أنت تحاول تسجيل حساب جديد. لقد سجلت بالفعل الحد الأقصى لعدد الحسابات (%d)."
error_registration_user_already_registered_in_another_server,"You are trying to register an authenticator in server %s. The account has authentication methods registered in another server. An account can only have registered authentication methods in one server.","Sie versuchen, einen Authentifikator auf dem Server %s zu registrieren. Das Konto hat Authentifizierungsmethoden auf einem anderen Server registriert. Ein Konto kann nur in einem Server über registrierte Authentifizierungsmethoden verfügen.","Vous essayez d'enregistrer un authentificateur dans le serveur %s. Le compte a des méthodes d'authentification enregistrées dans un autre serveur. Un compte ne peut avoir des méthodes d'authentification enregistrées que dans un seul serveur.","Si sta cercando di registrare un autenticatore nel server %s. L'account ha metodi di autenticazione registrati in un altro server. Un account può avere metodi di autenticazione registrati solo in un server.","Hitelesítő eszközt próbált regisztrálni a %s szerverhez. A fiók azonosítási módjai egy másik szerverhez regisztráltak. Egy fióknak csak egy szerveren lehetnek regisztrált hitelesítői.","您正尝试在 %s 服务器中注册一个身份验证器。该账户已在另一台服务器上注册了身份验证方法。一个账户只能在一个服务器中注册身份验证方法。","أنت تحاول تسجيل أداة مصادقة في الخادم %s. يحتوي الحساب على طرق مصادقة مسجلة في خادم آخر. يمكن أن يحتوي الحساب على طرق مصادقة مسجلة فقط في خادم واحد."
error_registration_clock_skew_too_big,"The device clock is out of sync. Update it in the operating system settings.","Die Geräteuhr ist nicht synchronisiert. Aktualisieren Sie sie in den Einstellungen des Betriebssystems.","L'horloge du dispositif est désynchronisée. Mettez-la à jour dans les paramètres du système d'exploitation.","L'orologio del dispositivo non è sincronizzato. Aggiornatelo nelle impostazioni del sistema operativo.","A készülék órája nincs szinkronban. Frissítse azt az operációs rendszer beállításaiban.","设备时钟不同步。在操作系统设置中进行更新。","ساعة الجهاز غير متزامنة. قم بتحديثها في إعدادات نظام التشغيل."
error_invalid_host_title,"Error","Fehler","Erreur","Errore","Hiba","错误","خطأ"
error_host_not_in_white_list,"You are trying to do an operation on a server that is unknown by this application.","Sie versuchen, eine Operation auf einem Server durchzuführen, der dieser Anwendung unbekannt ist.","Vous essayez d'effectuer une opération sur un serveur qui est inconnu de cette application.","State cercando di fare un'operazione su un server che è sconosciuto a questa applicazione.","Olyan szerveren próbálkozik, amelyet az alkalmazás nem ismer.","您正在尝试在此应用程序不知道的服务器上进行操作。","أنت تحاول إجراء عملية على خادم غير معروف بهذا التطبيق."
error_authentication_decrypting_out_of_band_payload,"Could not decrypt the message.\n\nCheck that the device you are using is the one registered for this application.","Die Nachricht konnte nicht entschlüsselt werden.\n\nStellen Sie sicher, dass sie das gleiche Gerät verwenden welches Sie für die Registrierung benutzt haben.","Impossible de décrypter le contenu du message. \n\nVeuillez vérifier que le dispositif que vous utilisez est bien celui qui est enregistré pour cette application.","Non è stato possibile decodificare il contenuto del messaggio.\n\nVerificare che il dispositivo utilizzato sia quello registrato per questa applicazione.","A kapott információ nem dekódolható.\n\nEllenőrizze, hogy azt a készüléket használja-e, ami regisztrálva lett-e az alkalmazáshoz.","无法解密消息的内容。\n\n请检查您使用的设备是否是为此应用程序注册的设备。","تعذر فك تشفير الرسالة. \n\n تأكد أن الجهاز الذي تستخدمه هو الجهاز المسجل لهذا التطبيق."
error_authentication_access_denied,"We were not able to verify your identity","Wir konnten Ihre Identität nicht überprüfen.","Nous n'avons pas été en mesure de vérifier votre identité.","Non siamo stati in grado di verificare la tua identità.","Meghiúsult személyazonossága ellenőrzése.","我们无法验证您的身份","لم نتمكن من التحقق من هويتك"
error_authentication_key_disappeared,"Security data was deleted.\nRegister again.","Sicherheitsdaten wurden gelöscht.\nBitte registrieren Sie sich erneut.","Les données de sécurité ont été effacées.\nVeuillez vous enregistrer à nouveau.","I dati sulla sicurezza sono stati eliminati.\nPer favore registrati di nuovo.","A adatai törölve lettek. \Regisztráljon újra.","安全数据已经被删除\n请重新注册","تم حذف بيانات الأمان. \n قم بالتسجيل مرة أخرى."
error_authentication_user_not_responsive,"The authentication timed out, try again","Zeitüberschreitung während der Authentisierung, bitte versuchen Sie es erneut.","Veuillez réessayer et finir l'enregistrement plus rapidement.","Per favore riprova e completa l'autenticazione più velocemente.","Túl sokáig tartott az azonosítás. Próbálja újra.","验证已超时，请重新尝试","انتهت مدة التوثيق، حاول مرة أخرى"
error_authentication_user_lockout,"For security reasons, you were locked out. Define a new PIN to be able to authenticate again.","Aus Sicherheitsgründen wurden Sie ausgesperrt. Sie müssen eine neue PIN definieren, bevor Sie authentisieren können.","Pour des raisons de sécurité, son authentificateur a été bloqué. Vous devez définir un nouveau code PIN avant de pouvoir vous authentifier à nouveau.","Per ragioni di sicurezza, il suo autenticatore è stato bloccato. È necessario definire un nuovo PIN prima di potersi autenticare di nuovo.","Biztonsági okokból fiókja zárolva lett. Adjon meg új PIN-kódot, az azonosításhoz.","出于安全考虑，您的账户已经被锁定。您需要设置新的识别码再进行注册","لأسباب أمنية، تم حظرك. حدد رقم PIN جديد للتمكن من التوثيق مرة أخرى."
error_authentication_user_lockout_with_system_authenticator,"For security reasons, you were locked out.\n\nUnlock your authentication method in the System Settings.","Aus Sicherheitsgründen wurden Sie ausgesperrt.\n\nUm Ihren Authentifikator zu entsperren, gehen Sie bitte zu den Systemeinstellungen.","Pour des raisons de sécurité, son authentificateur a été bloqué.\n\nPour déverrouiller votre méthode d'authentification, rendez-vous dans les préférences du système.","Per ragioni di sicurezza, il suo autenticatore è stato bloccato.\n\nPer sbloccare il vostro autenticatore andate nelle Impostazioni di sistema.","Biztonsági okokból fiókja zárolva lett. A készülék rendszerbeállításaiban oldja fel a használt azonosítási módszert.","出于安全考虑，您的账户已经被锁定\n\n请到系统设置中解锁验证人","لأسباب أمنية، تم حظرك. \n\n قم بفتح طريقة المصادقة الخاصة بك في إعدادات النظام الخاص بالهاتف."
error_authentication_networking,"Your device is experiencing network issues.\nTry again later.","Es treten Netzwerkprobleme auf. Bitte versuchen Sie es später erneut, wenn Sie eine bessere Netzverbindung haben.","Vous avez des problèmes de réseau. Veuillez essayer à nouveau lorsque vous aurez une meilleure connexion.","Ci sono problemi di rete. Per favore riprova più tardi quando la connessione dati sarà migliore.","Hálózati probléma.\nPróbálja újra később.","您的手机存在网络问题\n请在网络畅通时重新尝试","هاتفك يواجه مشاكل في الشبكة. \n حاول مرة أخرى لاحقا."
error_authentication_token_already_redeemed,"You tried to authenticate twice using the same push notification or QR code.\nTry again by requesting a new QR code or push notification.","Sie haben versucht sich zwei mal mit der gleichen Push Nachricht oder dem gleichen QR-Code zu authentisieren.\n\nBitte versuchen Sie eine neue Push Nachricht oder einen neuen QR Code anzufordern.","Vous avez essayé de vous authentifier deux fois en utilisant la même notification push ou le même code QR.\nVeuillez réessayer en demandant un nouveau code QR ou une  nouvelle notification push.","Hai provato ad effettuare l'autenticazione due volte utilizzando la stessa notifica push o lo stesso codice QR.\n\nSi prega di provare di nuovo richiedendo un nuovo codice QR o notifica push.","Kétszer próbáltkozott ugyanazzal az értesítéssel vagy QR-kóddal.\nPróbálkozzon újra egy új QR-kóddal vagy értesítéssel.","您已尝试使用同一推送通知或二维码进行两次身份验证。\n请尝试再次请求新的二维码或推送通知。","حاولت المصادقة مرتين باستخدام نفس الإشعار المنبثق أو الرمز المرئي (QR). \n حاول مرة أخرى بطلب رمز QR جديد أو إشعار منبث"
error_authentication_fingerprint_not_enrolled,"Before using the fingerprint authentication method, enroll your fingerprint in the System Settings","Ihr Fingerabdruck muss in den Systemeinstellungen hinterlegt sein bevor Sie sich mit Fingerabdruck authentisieren können.","Avant d'utiliser l'authentificateur d'empreintes digitales, vous devez définir votre empreinte digitale dans les préférences du système.","Prima di utilizzare il fingerprint authenticator, è necessario impostare la propria impronta digitale nelle impostazioni di sistema.","Az ujjlenyomatos azonosítás mód használatához először regisztrálnia kell az ujjlenyomatát a redszerbeállításokban.","在使用指纹验证器之前，您必须在系统设置中定义您的指纹。","قبل استخدام طريقة المصادقة بالبصمة، قم بتسجيل بصمتك في إعدادات النظام الخاص بالهاتف"
error_authentication_key_disappeared_fingerprint,"Your fingerprint authentication method is not available because the fingerprint was disabled or modified in the System Settings. Please contact support.","Sie können sich nicht mit Fingerabdruck authentisieren da der Fingerabdruck in den Systemeinstellungen entweder entfernt oder angepasst worden ist. Bitte kontaktieren Sie Support um die Applikation wieder verwenden zu können.","Votre authentificateur d'empreintes digitales n'est pas disponible parce que l'empreinte digitale a été désactivée ou modifiée dans les préférences du système. Pour pouvoir utiliser à nouveau l'application, veuillez contacter le support.","Il vostro fingerprint authenticator non è disponibile perché è stato disattivato o modificato nelle impostazioni di sistema. Per poter utilizzare nuovamente l'applicazione si prega di contattare il supporto tecnico.","Az ujjlenyomatos azonosítás nem elérhető, mert az ujjlenyomatot megváltoztatták vagy törölték. Ha segítségre van szüksége, vegye fel velünk a kapcsolatot az ügyfélszolgálattal.","由于在系统设置中禁用或修改了指纹，因此无法使用您的指纹验证器。为了能再次使用应用程序，请联系支持人员。","طريقة المصادقة ببصمة الأصبع غير متاحة لأن البصمة تم تعطيلها أو تعديلها في إعدادات النظام. يرجى الاتصال بالدعم."
error_authentication_key_disappeared_biometric,"Your biometric authentication method is not available because the biometric credentials were disabled or modified in the System Settings. Please contact support.","Sie können sich nicht mit biometrische Zugangsdaten authentisieren da die biometrische Daten in den Systemeinstellungen entweder entfernt oder angepasst worden ist. Bitte kontaktieren Sie Support um die Applikation wieder verwenden zu können.","Votre authentificateur biométrique n'est pas disponible parce que les données biométriques ont été éffacées ou modifiées dans les préférences du système. Pour pouvoir utiliser à nouveau l'application, veuillez contacter le support.","Il vostro authenticator biometrico non è disponibile perché le credenziali biometriche sono state rimosse o modificat nelle impostazioni di sistema. Per poter utilizzare nuovamente l'applicazione si prega di contattare il supporto tecnico.","Az biometrikus azonosítás nem elérhető, mert a biometrikusa adatok megváltoztatták vagy törölték. Ha segítségre van szüksége, vegye fel velünk a kapcsolatot az ügyfélszolgálattal.","由于在系统设置中禁用或修改了生物识别凭证，因此您的生物识别验证方法不可用。请联系支持。","طريقة المصادقة البيومترية غير متاحة لأن البيانات الحيوية تم تعطيلها أو تعديلها في إعدادات النظام. يرجى الاتصال بالدعم."
error_authentication_untrusted_facet_id,"Error validating the facet ID of the server. Please contact support.","Bei der Überprüfung der Facet ID ist ein Fehler aufgetreten. Bitte kontaktieren Sie Support sollte das Problem bestehen.","Erreur de validation de la facet ID du serveur. Veuillez contacter le support si le problème persiste.","Errore nella convalida del facet ID del server. Contattare il supporto se il problema persiste.","A kiszolgáló Facet ID ellenőrzése meghiúsult. Vegye fel a kapcsolatot az ügyfélszolgálattal.","验证服务器的面部ID出错。如果问题仍然存在，请联系支持人员。","خطأ في التحقق من صحة معرف الجانب من الخادم. يرجى الاتصال بالدعم."
error_authentication_failed_number_matching,"You provided an invalid verification number.","Sie haben eine ungültige Prüfnummer angegeben.","Vous avez fourni un numéro de vérification non valide.","Il numero di verifica fornito non è valido.","Nem egyezik a szám.","您提供的验证号码无效。","أنت قدمت رقم تحقق غير صحيح."
error_authentication_no_user_registered_in_server,"No account is registered in the server that generated the QR code.","Auf dem Server, der den QR-Code generiert hat, ist kein Konto registriert.","Aucun compte n'est enregistré dans le serveur qui a généré le code QR.","Sul server che ha generato il codice QR non è registrato alcun account.","Nincs regisztrálva fiók azon a kiszolgálón, amelyik a QR-kódot generálta.","生成二维码的服务器上没有注册账户。","لم يتم تسجيل أي حساب في الخادم الذي أنشأ رمز الاستجابة السريعة."
error_authentication_generic,"A technical error occurred, try again","Ein technischer Fehler ist aufgetreten.\nBitte versuchen Sie es erneut.","Une erreur technique est survenue.\nVeuillez réessayer.","Si è verificato un errore tecnico.\nPer favore prova di nuovo.","Hiba történt. Próbálja meg újra.","出现技术问题\n请重新尝试","حدث خطأ تقني، حاول مرة أخرى"
error_authentication_no_suitable_authenticator,"Your selected authentication method is no longer accepted. This is most likely because it was removed from your online profile. To use another authentication method please deactivate this one first in the application Settings.","Ihre gewählte Authentisierungsmethode wird nicht mehr akzeptiert. Dies liegt höchstwahrscheinlich daran, dass es aus Ihrem Online-Profil entfernt wurde. Um eine andere Authentisierungsmethode zu verwenden, deaktivieren Sie diese bitte zuerst in den App-Einstellungen.","La méthode d'authentification que vous avez choisie n'est plus acceptée. Cela est très probablement dû au fait qu'elle a été supprimée de votre profil en ligne. Pour utiliser une autre option d'authentification, veuillez d'abord désactiver celle-ci dans les Préférences de l'application.","L'opzione di autenticazione selezionata non è più accettata. Questo è molto probabilmente dovuto al fatto che è stata rimossa dal vostro profilo online. Per utilizzare un'altra opzione di autenticazione, disattivatela prima nelle Impostazioni dell'applicazione.","A kiválasztott azonosítási mód a továbbiakban már nem használható. Másik azonosítási mód használatához először inaktiválnia kell az aktuális azonosítási módot az alkalmazás beállításaiban.","您选择的认证方法不再被接受。这可能是因为它已从您的在线配置文件中删除。要使用另一种认证方法，请先在应用程序设置中停用这个。","طريقة التوثيق التي اخترتها لم تعد مقبولة. هذا على الأرجح بسبب إزالتها من ملفك الشخصي عبر الإنترنت. لاستخدام طريقة توثيق أخرى يرجى إلغاء تفعيل هذه الأولى في إعدادات التطبيق."
error_deregistration_access_denied,"We were not able to verify your identity","Wir konnten Ihre Identität nicht überprüfen.","Nous n'avons pas été en mesure de vérifier votre identité.","Non siamo stati in grado di verificare la tua identità.","Nem tudtuk ellenőrizni a személyazonosságát.","我们无法验证您的身份","لم نتمكن من التحقق من هويتك"
error_deregistration_user_cancelled,"You cancelled the account removal","Sie haben die Entfernung des Kontos abgebrochen.","Vous avez annulé la suppression du compte.","Hai annullato la rimozione dell'account.","A fiók eltávolítását megszakította,","您已取消了账户移除。","لقد ألغيت إزالة الحساب"
error_deregistration_key_disappeared,"Security data was deleted.\nRegister again.","Sicherheitsdaten wurden gelöscht.\nBitte melden Sie sich erneut an.","Les données de sécurité ont été effacées.\nVeuillez vous enregistrer à nouveau.","I dati sulla sicurezza sono stati eliminati.\nPer favore registrati di nuovo.","Biztonsági adatai nem állnak rendelkezésre. \Regisztráljon újra.","安全数据已经被删除\n请重新注册","تم حذف بيانات الأمان. \n قم بالتسجيل مرة أخرى."
error_deregistration_user_not_responsive,"The account removal timed out, try again","Zeitüberschreitung während der Entfernung des Kontos, bitte versuchen Sie es erneut.","Veuillez réessayer et finir la suppression du compte plus rapidement.","Per favore riprova e completa il processo di rimozione dell'account più velocemente.","Túl sokáig tartott a fiók eltávolítása. Próbálja meg újra.","账户移除超时，请再试一次。","انتهت مدة إزالة الحساب، حاول مرة أخرى"
error_deregistration_user_lockout,"For security reasons, you were locked out. Define a new PIN to be able to register again.","Aus Sicherheitsgründen wurden Sie ausgesperrt. Sie müssen eine neue PIN definieren, bevor Sie sich erneut registrieren können.","Pour des raisons de sécurité, son authentificateur a été bloqué. Vous devez définir un nouveau code PIN avant de pouvoir vous enregistrer à nouveau.","Per ragioni di sicurezza, il suo autenticatore è stato bloccato. È necessario definire un nuovo PIN prima di potersi registrare di nuovo.","Biztonsági okokból fiókja zárolva lett. Adjon meg új PIN-kódot, hogy regisztrálhasson ismét.","出于安全考虑，您的账户已经被锁定。您需要设置新的识别码再进行注册","لأسباب أمنية، تم حظرك. حدد رقم PIN جديد للتمكن من التسجيل مرة أخرى."
error_deregistration_user_lockout_with_system_authenticator,"For security reasons, you were locked out.\n\nUnlock your authentication method in the System Settings.","Aus Sicherheitsgründen wurden Sie ausgesperrt.\n\nUm Ihren Authentifikator zu entsperren, gehen Sie bitte zu den Systemeinstellungen.","Pour des raisons de sécurité, son authentificateur a été bloqué.\n\nPour déverrouiller votre méthode d'authentification, rendez-vous dans les préférences du système.","Per ragioni di sicurezza, il suo autenticatore è stato bloccato.\n\nPer sbloccare il vostro autenticatore andate nelle Impostazioni di sistema.","Biztonsági okokból fiókja zárolva lett. A készülék rendszerbeállításaiban oldja fel a használt azonosítási módszert.","出于安全考虑，您的账户已经被锁定\n\n请到系统设置中解锁验证人","لأسباب أمنية، تم حظرك. \n\n قم بفتح طريقة المصادقة الخاصة بك في إعدادات النظام الخاص بالهاتف."
error_deregistration_networking,"Your device is experiencing network issues.\nTry again later.","Es treten Netzwerkprobleme auf. Bitte versuchen Sie es später erneut, wenn Sie eine bessere Netzverbindung haben.","Vous avez des problèmes de réseau. Veuillez essayer à nouveau lorsque vous aurez une meilleure connexion.","Ci sono problemi di rete. Per favore riprova più tardi quando la connessione dati sarà migliore.","Hálózati probléma.\nPróbálja újra később.","您的手机存在网络问题\n请在网络畅通时重新尝试","هاتفك يواجه مشاكل في الشبكة. \n ح"
error_deregistration_untrusted_facet_id,"Error validating the facet ID of the server. Please contact support.","Bei der Überprüfung der Facet ID ist ein Fehler aufgetreten. Bitte kontaktieren Sie Support sollte das Problem bestehen.","Erreur de validation de la facet ID du serveur. Veuillez contacter le support si le problème persiste.","Errore nella convalida del facet ID del server. Contattare il supporto se il problema persiste.","A kiszolgáló Facet ID ellenőrzése meghiúsult. Vegye fel a kapcsolatot az ügyfélszolgálattal.","验证服务器的面部 ID 出错。请联系支持。","خطأ في التحقق من صحة معرف الجانب للخادم. يرجى الاتصال بالدعم."
error_deregistration_generic,"A technical error occurred, try again","Ein technischer Fehler ist aufgetreten.\nBitte versuchen Sie es erneut.","Une erreur technique est survenue.\nVeuillez réessayer.","Si è verificato un errore tecnico.\nPer favore prova di nuovo.","Hiba történt. Próbálja meg újra.","出现技术问题\n请重新尝试","حدث خطأ تقني، حاول مرة أخرى"
error_deregistration_clock_skew_too_big,"The device clock is out of sync. Update it in the operating system settings.","Die Geräteuhr ist nicht synchronisiert. Aktualisieren Sie sie in den Einstellungen des Betriebssystems.","L'horloge du dispositif est désynchronisée. Mettez-la à jour dans les paramètres du système d'exploitation.","L'orologio del dispositivo non è sincronizzato. Aggiornatelo nelle impostazioni del sistema operativo.","A készülék órája nincs szinkronban. Frissítse azt az operációs rendszer beállításaiban.","设备时钟不同步。在操作系统设置中进行更新。","ساعة الجهاز غير متزامنة. قم بتحديثها في إعدادات نظام التشغيل."
confirm_deletion_after_user_canceled_authentication,"You have canceled authentication. It is recommended to authenticate before removing the account.\n\nDo you want to remove the account in this device?","Sie haben die Authentisierung abgebrochen. Es wird empfohlen, sich vor der Entfernung des Kontos zu authentifizieren.\n\nMöchten Sie das Konto in diesem Gerät entfernen?","Vous avez annulé l'authentification. Il est recommandé de s'authentifier avant de supprimer le compte.\n\nVoulez-vous supprimer le compte dans cet appareil?","Hai annullato l'autenticazione. Si consiglia di autenticarsi prima di rimuovere l'account.\n\nVolete rimuovere l'account in questo dispositivo?","Azonosítás megszakítva. Javasoljuk, hogy a fiók eltávolítása előtt azonosítsa magát.\n\nFolytatja a fiók eltávolítását erről a készülékről?","您已取消认证。建议在删除账户之前进行认证。\n\n您想要删除此设备中的账户吗？","لقد ألغيت المصادقة. يوصى بالمصادقة قبل إزالة الحساب. \n\n هل تريد إزالة الحساب في هذا الجهاز؟"
confirm_deletion_after_no_suitable_authenticator,"Your selected authentication method is no longer accepted. This is most likely because it was removed from your online profile.\n\nDo you want to remove the account in this device?","Ihre gewählte Authentisierungsmethode wird nicht mehr akzeptiert. Dies liegt höchstwahrscheinlich daran, dass es aus Ihrem Online-Profil entfernt wurde.\n\nMöchten Sie das Konto in diesem Gerät entfernen?","La méthode d'authentification que vous avez choisie n'est plus acceptée. Cela est très probablement dû au fait qu'elle a été supprimée de votre profil en ligne.\n\nVoulez-vous supprimer le compte dans cet appareil?","L'opzione di autenticazione selezionata non è più accettata. Questo è molto probabilmente dovuto al fatto che è stata rimossa dal vostro profilo online.\n\nVolete rimuovere l'account in questo dispositivo?","A kiválasztott azonosítási mód a továbbiakban nem használható. \n\nEltávolítja a fiókot erről a készülékről?","您选择的认证方法不再被接受。这很可能是因为它已从您的在线配置文件中删除。\n\n您想要删除此设备中的账户吗？","طريقة المصادقة التي اخترتها لم تعد مقبولة. من المحتمل أن يكون ذلك بسبب إزالتها من ملفك الشخصي على الإنترنت. \n\n هل تريد إزالة الحساب في هذا الجهاز؟"
confirm_deletion_after_generic_authentication_error,"There was an error authenticating. It is recommended to authenticate before removing the account.\n\nDo you want to remove the account in this device?","Es gab einen Fehler bei der Authentifizierung. Es wird empfohlen, sich vor der Entfernung des Kontos zu authentifizieren.\n\nMöchten Sie das Konto in diesem Gerät entfernen?","Il y a eu une erreur d'authentification. Il est recommandé de s'authentifier avant de supprimer le compte.\n\nVoulez-vous supprimer le compte dans cet appareil?","C'è stato un errore di autenticazione. Si consiglia di autenticarsi prima di rimuovere l'account.\n\nVolete rimuovere l'account in questo dispositivo?","Hiba történt az azonosítás során. Javasoljuk, hogy a fiók eltávolítása előtt azonosítsa magát.\n\nFolytatja a fiók eltávolítását erről a készülékről?","认证时出现错误。建议在删除帐户之前进行认证。\n\n您想要删除此设备中的账户吗？","حدث خطأ أثناء المصادقة. يوصى بالمصادقة قبل إزالة الحساب. \n\n هل تريد إزالة الحساب في هذا الجهاز؟"
confirm_deletion_after_generic_deregistration_error,"An unexpected error occurred removing the account in the server.\n\nDo you want to remove the account in this device?","Beim Entfernen des Kontos auf dem Server ist ein unerwarteter Fehler aufgetreten.\n\nMöchten Sie das Konto in diesem Gerät entfernen?","Une erreur inattendue s'est produite lors de la suppression du compte dans le serveur.\n\nVoulez-vous supprimer le compte dans cet appareil?","Si è verificato un errore inaspettato nella rimozione dell'account nel server.\n\nVolete rimuovere l'account in questo dispositivo?","Váratlan hiba történt a fiók kiszolgálóról való eltávolítása közben.\n\nEltávolítja a fiókot erről a készülékről?","在服务器中删除账户时发生了意外的错误。\n\n您想要删除此设备中的账户吗？","حدث خطأ غير متوقع أثناء إزالة الحساب في الخادم. \n\n هل تريد إزالة الحساب في هذا الجهاز؟"
account_selection_screen_title,"Account Selection","Wählen Sie ein Konto","Sélectionnez un compte","Seleziona un account","Fiókválasztás","选择账户","اختيار الحساب"
account_selection_screen_description,"Select an account","Bitte wählen Sie das Konto, mit dem Sie fortfahren möchten","Veuillez sélectionner le compte que vous souhaitez utiliser","Seleziona l'account con cui vuoi procedere","Válasszon ki egy fiókot","请选择您要继续操作的账户","اختر حسابا"
account_first_account_description,"Primary account","Hauptkonto","Compte principal","Conto principale","Elsődleges fiók","主账户","الحساب الأول"
account_second_account_description,"Secondary account","Zweites Konto","Compte secondaire","Conto secondario","Másodlagos fiók","次级账户","الحساب الثاني"
account_other_account_description,"Account %d","Konto %d","Compte %d","Conto %d","Fiók %1$d","账户%d","حساب %d"
account_naming_screen_title,"Account Name","Benennen Sie das Konto","Nommez le compte","Denominare l'account","Fiók neve","命名账户","اسم الحساب"
account_naming_screen_done_button,"Done","Fertig","Terminé","Finito","Kész","完成","تم"
account_naming_screen_description,"Name your account","Bitte benennen Sie Ihr Konto","Veuillez nommer votre compte","Per favore, dai un nome al tuo conto","Nevezze el fiókját.","请给您的账户命名","أدخل اسم لحسابك"
account_naming_screen_error_no_description_provided,"No account name provided","Keine Kontobezeichnung angegeben","Pas de nom de compte fourni","Nessun nome di conto fornito","Nem adott meg fióknevet.","未提供账户名称","لم يتم تقديم اسم للحساب"
account_naming_screen_error_description_already_exists,"This account name already exists","Diese Kontobezeichnung existiert bereits","Ce nom de compte existe déjà","Questo nome di account esiste già","Ez a fióknév már létezik."," 此账户名称已存在","اسم الحساب هذا موجود بالفعل"
account_screen_title,"Account","Konto","Compte","Account","Fiók"," 账户","الحساب"
account_screen_section_name_header,"Name","Name","Nom","Nome","Név","名字","الاسم"
account_screen_section_username_header,"Technical ID","Technischer Identifikator","Identifiant technique","Identificatore tecnico","Technikai azonosító","技术 ID","الهوية الفنية"
account_screen_section_authenticators_header,"Authentication Methods","Authentifikationsmethoden","Méthodes d'authentification","Metodi di autenticazione","Azonosítási módszerek"," 认证方法","طرق المصادقة"
account_screen_pin_change_button,"Change PIN","PIN ändern","Changer de code PIN","Cambiare il PIN","PIN-kód módosítása","更换识别码","تغيير الرقم السري"
account_screen_remove_button,"Remove Account","Konto entfernen","Supprimer le Compte","Rimuovi Account","Fiók törlése","删除账户","إزالة الحساب"
account_screen_deregister_alert_remove,"Remove","Entfernen","Supprimer","Rimuovi","Törlés","删除","إزالة"
account_screen_deregister_alert_cancel,"Cancel","Abbrechen","Annuler","Annulla","Mégse","取消","إلغاء"
device_naming_screen_title,"Device","Gerät","Dispositif","Dispositivo","Készülék","器材","شاشة تسمية الجهاز"
device_naming_screen_name,"Name","Name","Nom","Nome","Név","名字","اسم"
device_naming_screen_error_no_device_name_provided,"No device name provided.","Kein Gerätename angegeben.","Aucun nom de dispositif n'est fourni.","Non è stato fornito il nome del dispositivo.","Az eszköznév nincs megadva.","没有提供设备名称","لم يتم تقديم اسم الجهاز"
device_naming_screen_error_device_name_already_exists,"The provided device name is already being used to identify another device, choose a different name.","Der angegebene Gerätename wird bereits zur Identifizierung eines anderen Geräts verwendet, wählen Sie einen anderen Namen.","Le nom de l'appareil fourni est déjà utilisé pour identifier un autre appareil, choisissez un autre nom.","Il nome del dispositivo fornito viene già utilizzato per identificare un altro dispositivo, scegliere un nome diverso.","Ezt az eszköznevet már használja egy másik eszköz, válasszon másik nevet.","提供的设备名称已经被用于识别另一个设备，请选择一个不同的名称","الاسم المقدم للجهاز يستخدم بالفعل لتحديد جهاز آخر، اختر اسمًا مختلفًا."
device_naming_screen_error_dispatch_target_not_found,"The device was not found in the backend, it was probably removed.","Das Gerät wurde im Backend nicht gefunden, wahrscheinlich wurde es entfernt.","Le dispositif n'a pas été trouvé dans le backend, il a probablement été supprimé.","Il dispositivo non è stato trovato nel backend, probabilmente è stato rimosso.","Az eszköz nem található a háttérrendszerben, valószínűleg törölve lett.","在后台没有找到该设备，它可能被删除了","لم يتم العثور على الجهاز في النظام الأساسي، ربما تم إزالته."
device_naming_screen_error_networking,"Your device is experiencing network issues.\nPlease try again later when you have better data connectivity.","Es treten Netzwerkprobleme auf.\nBitte versuchen Sie es später erneut, wenn Sie eine bessere Datenverbindung haben.","Vous avez des problèmes de réseau. Veuillez réessayer ultérieurement lorsque vous disposerez d'une meilleure connexion de données.","Ci sono problemi di rete.\nSi prega di riprovare più tardi quando la connettività dati è migliore.","Hálózati probléma.\nPróbálja újra később.","您的手机遇到了网络问题。请稍后在你有更好的数据连接时再试。","هاتفك يواجه مشاكل في الشبكة. \n الرجاء المحاولة مرة أخرى لاحقا عندما يكون لديك اتصال بيانات أفضل"
device_naming_screen_error_clock_skew_too_big,"The device clock is out of sync. Update it in the operating system settings.","Die Geräteuhr ist nicht synchronisiert. Aktualisieren Sie sie in den Einstellungen des Betriebssystems.","L'horloge du dispositif est désynchronisée. Mettez-la à jour dans les paramètres du système d'exploitation.","L'orologio del dispositivo non è sincronizzato. Aggiornatelo nelle impostazioni del sistema operativo.","A készülék órája nincs szinkronban. Frissítse azt az operációs rendszer beállításaiban.","设备时钟不同步。在操作系统设置中进行更新。","ساعة الجهاز غير متزامنة. قم بتحديثها في إعدادات نظام التشغيل."
